"","genre","artist_name","track_name","track_id","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence"
"734","Comedy","Robin Williams","Kindergarten Of The Stars","1WBqwu6JtVRD0F0tbnvlPm",25,0.854,0.655,103909,0.343,1.01e-06,"F",0.95,-22.903,"Major",0.934,79.225,"4/4",0.529
"735","Comedy","Rodney Carrington","Rodney Visits Church, Shops For Caskets & Goes To Heaven","0u42LuhlGSwtmPDL13y7za",25,0.693,0.511,348160,0.906,0,"F#",0.972,-9.295,"Major",0.943,138.651,"3/4",0.266
"736","Comedy","Gabriel Iglesias","Strippers","0CkgFE6eLlRVu8jRVzQ8V9",37,0.908,0.507,154413,0.636,0,"B",0.962,-17.365,"Minor",0.932,124.194,"4/4",0.402
"737","Comedy","Tenacious D","One Note Song","4HmtY2yBSNGJ7zEcsAkJqF",37,0.642,0.717,83493,0.29,0,"D",0.165,-14.268,"Major",0.89,96.09,"3/4",0.118
"738","Comedy","Kathleen Madigan","Smoking","38TQqbA5SFNvCIC67V9uGS",19,0.672,0.603,114693,0.62,0,"C",0.845,-17.056,"Major",0.92,119.157,"4/4",0.561
"739","Comedy","Tommy Johnagin","My Mom","7aAf4ELed9y4IIhwnniM4Z",20,0.946,0.445,173322,0.856,0,"G#",0.673,-9.651,"Major",0.942,80.753,"4/4",0.4
"740","Comedy","Frankie Boyle","Sports","2OpHW7Km5XtjEegOvUYflK",25,0.671,0.629,743840,0.883,0,"E",0.684,-12.987,"Major",0.901,118.872,"4/4",0.205
"741","Comedy","Lewis Black","Voting","7r3Sts7HBR6de4lS9llezu",24,0.864,0.665,126877,0.412,0,"B",0.632,-16.626,"Minor",0.935,100.929,"3/4",0.358
"742","Comedy","Norm MacDonald","Half Time","2ATuJT342ID3BIyIDH8yfx",18,0.862,0.66,257907,0.603,0,"B",0.317,-11.462,"Major",0.95,138.555,"3/4",0.568
"743","Comedy","Chad Daniels","Canoe Trip","7Fe8VKfP0hbpjluWuVyQhB",29,0.58,0.543,270791,0.739,0,"G",0.714,-7.38,"Major",0.946,66.728,"3/4",0.471
"744","Comedy","Comedian Bob Marley","Honolulu, Hasselhoff, & the Fun Wagon","6KEvBNJMofbHposB8DkDpQ",13,0.906,0.511,459120,0.88,0,"F#",0.849,-8.561,"Minor",0.895,91.637,"3/4",0.4
"745","Comedy","Jerry Seinfeld","Health","3JlOigxueOc7ntAu6yH6ji",12,0.88,0.664,78920,0.237,0,"D",0.338,-15.856,"Minor",0.935,77.264,"3/4",0.383
"746","Comedy","Iliza Shlesinger","Find the Car","1PDIfqGn3yOghiB5nN29YD",26,0.946,0.655,103561,0.653,0,"F#",0.777,-10.122,"Major",0.941,139.757,"1/4",0.431
"747","Comedy","Doug Benson","Mush Brain","7MzPGMGPQQ3iBsI9sBTBLo",14,0.765,0.595,198307,0.797,0,"C#",0.646,-5.22,"Major",0.714,111.364,"5/4",0.595
"748","Comedy","Rodney Carrington","Disneyworld","7m5VzmrIicajMZJpZU2w5s",29,0.684,0.471,162240,0.535,0,"A",0.839,-16.245,"Major",0.946,84.326,"4/4",0.0695
"749","Comedy","Joe Rogan","Telepathy/Ted Haggard Got Cured of the Gay","6EHiD6u2N1WH2GmorUdrcE",42,0.721,0.59,179520,0.961,0,"F#",0.916,-2.587,"Minor",0.836,88.165,"4/4",0.414
"750","Comedy","Gary Gulman","Grape vs. Grapefruit (2004)","33Qf3JHY64jWo9vupkmVQw",27,0.782,0.448,323987,0.878,0,"D",0.966,-6.373,"Major",0.906,88.847,"4/4",0.406
"751","Comedy","Artie Lange","My Rehab Counselor","0sns244Zne4FL5ZEttkRWw",19,0.659,0.61,263201,0.924,0,"F#",0.925,-4.961,"Minor",0.764,114.247,"4/4",0.562
"752","Comedy","Kathleen Madigan","Canada","3rJdHvaSEwuASzYO1HOdK0",17,0.849,0.596,239987,0.194,0,"G#",0.778,-25.641,"Major",0.937,133.339,"4/4",0.332
"753","Comedy","Dan Cummins","Jesus, Idaho And Misunderstandings","28pDP8XO2yNhhyuv1KAUqM",23,0.872,0.587,135387,0.634,0,"C#",0.225,-12.202,"Major",0.948,145.29,"3/4",0.604
"754","Comedy","Frankie Boyle","The Olympics","4LHonWXdKmFDUTZRMEYI6Q",32,0.79,0.543,427440,0.887,0,"A",0.904,-13.37,"Major",0.914,117.663,"3/4",0.186
"755","Comedy","Maria Bamford","I Love You, OK?","7a744s3vgw7Hj4H16ek5cJ",23,0.87,0.621,287135,0.45,1.41e-06,"E",0.689,-13.696,"Major",0.908,119.082,"4/4",0.583
"756","Comedy","Todd Barry","MTV Diary","7oJ7NO2sRdFCGFMnkvEKua",19,0.842,0.629,60253,0.696,1.74e-06,"B",0.602,-14.022,"Major",0.941,68.596,"5/4",0.488
"757","Comedy","Steve Harvey","Women Understanding Men Part 2 (Lies)","1tqR5dBdBYQ7K6XaHZ2tjG",18,0.883,0.336,822915,0.681,0,"F#",0.876,-13.168,"Major",0.917,78.66,"4/4",0.0745
"758","Comedy","Doug Benson","Squeakquels","2KW6YTDNsPQS4sJaU6EESV",12,0.897,0.443,328013,0.707,0,"F#",0.923,-13.536,"Major",0.96,77.626,"3/4",0.438
"759","Comedy","Felipe Esparza","Immigration","4oAzxkymnrWrb9Jo0wtsuD",22,0.807,0.5,60811,0.496,0,"E",0.668,-21.049,"Minor",0.931,83.215,"4/4",0.0871
"760","Comedy","Russell Peters","Terrorists vs. Indians","06VOAPqJ2qOk1mCM1e3CEK",29,0.863,0.58,188672,0.654,0,"A#",0.975,-12.222,"Minor",0.934,103.868,"4/4",0.121
